link,text
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Helpline-for-people-living-with-HIVAIDS-launched-in-Chennai/article16336521.ece,Helpline for people living with HIV/AIDS launched in Chennai
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Public-telephone-a-blessing-for-those-living-with-HIVAIDS/article16335228.ece,Public telephone a blessing for those living with HIV/AIDS
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Helpline-launched-for-people-living-with-HIVAIDS/article16336857.ece,Helpline launched for people living with HIV/AIDS
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Why-feel-ashamed-of-HIVAIDS/article16337775.ece,Why feel ashamed of HIV/AIDS?
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Free-legal-service-for-HIV-positive-people/article16329152.ece,Free legal service for HIV positive people
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Inter-religion-panel-to-sensitise-people-on-HIVAIDS/article16327538.ece,Inter-religion panel to sensitise people on HIV/AIDS
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Panel-to-sensitise-people-on-HIVAIDS/article16654138.ece,Panel to sensitise people on HIV/AIDS
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Chennai-to-be-centre-for-drug-HIV-prevention-activities-in-prisons/article16617569.ece,"Chennai to be centre for drug, HIV prevention activities in prisons"
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Chennai-to-be-centre-for-drug-HIV-prevention-activities-in-prisons/article16617569.ece,"Chennai to be centre for drug, HIV prevention activities in prisons"
http://www.thehindu.com/todays-paper/tp-features/tp-metroplus/In-aid-of-HIV-orphans/article15928948.ece,In aid of HIV orphans
http://www.thehindu.com/todays-paper/tp-features/tp-metroplus/In-aid-of-HIV-orphans/article15928948.ece,In aid of HIV orphans
http://www.thehindu.com/todays-paper/tp-features/tp-metroplus/In-aid-of-HIV-orphans/article15928761.ece,In aid of HIV orphans
http://www.thehindu.com/todays-paper/tp-features/tp-metroplus/In-aid-of-HIV-orphans/article15928520.ece,In aid of HIV orphans
http://www.thehindu.com/todays-paper/tp-features/tp-metroplus/In-aid-of-HIV-orphans/article15928443.ece,In aid of HIV orphans
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/RHIV-to-launch-agitation-in-October/article16583035.ece,RHIV to launch agitation in October
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Texas-University-working-on-HIV-vaccine/article16582821.ece,Texas University working on HIV vaccine
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Workshop-on-HIV-awareness/article16579976.ece,Workshop on HIV awareness
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Workshop-on-HIV-awareness/article16579976.ece,Workshop on HIV awareness
