link,text
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/Curiosity-brings-people-to-HIVAIDS-exhibition/article15985103.ece,Curiosity brings people to HIV/AIDS exhibition
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/State-has-highest-number-of-HIV-cases-NACO/article15981425.ece,State has highest number of HIV cases: NACO
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/To-reduce-stigma-in-interacting-with-HIV-affected/article16027054.ece,To reduce stigma in interacting with HIV affected
http://www.thehindu.com/todays-paper/tp-international/HIV-free-Zuma/article16025890.ece,HIV free: Zuma
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Support-services-for-HIVAIDS-infected-persons-to-be-scaled-up/article16019940.ece,Support services for HIV/AIDS infected persons to be scaled up
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/More-steps-soon-to-prevent-HIVAIDS/article16019910.ece,More steps soon to prevent HIV/AIDS
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Support-services-for-HIVAIDS-infected-persons-to-be-scaled-up/article16019940.ece,Support services for HIV/AIDS infected persons to be scaled up
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/More-steps-soon-to-prevent-HIVAIDS/article16019910.ece,More steps soon to prevent HIV/AIDS
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/PHCs-to-have-HIV-testing-centres/article16013655.ece,PHCs to have HIV testing centres
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/PHCs-to-have-HIV-testing-centres/article16013655.ece,PHCs to have HIV testing centres
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Incidence-of-HIV-on-the-decline-in-Tamil-Nadu-says-Minister/article16013192.ece,"Incidence of HIV on the decline in Tamil Nadu, says Minister"
http://www.thehindu.com/todays-paper/tp-opinion/HIV-summit-in-Africa-for-grandmothers/article16030764.ece,HIV summit in Africa for grandmothers
http://www.thehindu.com/todays-paper/tp-national/tp-kerala/Allocation-for-HIV-control-activities-sought/article16029103.ece,Allocation for HIV control activities sought
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Government-urged-to-table-HIVAIDS-Bill-immediately/article16819947.ece,Government urged to table HIV/AIDS Bill immediately
http://www.thehindu.com/todays-paper/Tackling-HIV-a-high-priority-for-government-says-Sonia-Gandhi/article16819182.ece,"Tackling HIV a high priority for government, says Sonia Gandhi"
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/ldquoPrivate-sector-key-for-treating-HIV-patientsrdquo/article16817601.ece,“Private sector key for treating HIV patients”
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/People-living-with-HIV-bank-on-SHG-concept-for-income-generation/article16818935.ece,People living with HIV bank on SHG concept for income generation
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Link-ART-centres-planned-for-people-living-with-HIVAIDS/article16819154.ece,Link ART centres planned for people living with HIV/AIDS
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/Asha-Kirana-offers-hope-for-HIV-positive-people/article16818807.ece,Asha Kirana offers hope for HIV positive people
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/People-with-HIV-provide-food-for-thought/article16819107.ece,People with HIV provide food for thought
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/Help-people-with-HIVAIDS-lead-normal-life-says-expert/article16819026.ece,"Help people with HIV/AIDS lead normal life, says expert"
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Importance-of-HIV-test-stressed/article16818577.ece,Importance of HIV test stressed
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/lsquoCheck-spread-of-HIV-by-changing-lifestylersquo/article16818995.ece,‘Check spread of HIV by changing lifestyle’
http://www.thehindu.com/todays-paper/tp-national/tp-otherstates/ldquoMore-support-is-given-for-treatment-of-HIV-positive-personsrdquo/article16818615.ece,“More support is given for treatment of HIV positive persons”
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/SMAK-looking-for-aid-to-14-HIV-positive-children/article16817510.ece,SMAK looking for aid to 14 HIV positive children
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Highest-number-of-HIV-cases-in-State/article16817837.ece,Highest number of HIV cases in State
http://www.thehindu.com/todays-paper/tp-national/tp-newdelhi/Living-with-HIVAIDS-but-dying-of-TB-Study/article16817810.ece,"Living with HIV/AIDS, but dying of TB: Study"
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Fruits-distributed-to-HIV-patients/article15954350.ece,Fruits distributed to HIV patients
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Vans-to-spread-awareness-about-HIV-test-centres/article15995379.ece,Vans to spread awareness about HIV test centres
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/All-108-ambulances-urged-to-stock-anti-HIV-drugs/article15975974.ece,All 108 ambulances urged to stock anti-HIV drugs
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/lsquoCounsellors-indifferent-to-people-visiting-HIV-testing-centres/article15721457.ece,‘Counsellors indifferent to people visiting HIV testing centres'
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/Panchayats-involvement-in-supporting-children-with-HIV-opposed/article15721458.ece,Panchayats' involvement in supporting children with HIV opposed
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Expert-moots-inclusion-of-HIVAIDS-in-Arogyasri/article15720693.ece,Expert moots inclusion of HIV/AIDS in Arogyasri
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Expert-wants-HIVAIDS-under-Arogyasri/article15720680.ece,Expert wants HIV/AIDS under Arogyasri
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Volunteers-rally-around-to-help-HIV-children/article15719503.ece,Volunteers rally around to help HIV children
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Awareness-on-HIVAIDS-stressed/article15719334.ece,Awareness on HIV/AIDS stressed
http://www.thehindu.com/todays-paper/tp-national/Animation-lessons-on-HIVAIDS-awareness-released/article15718205.ece,Animation lessons on HIV/AIDS awareness released
http://www.thehindu.com/todays-paper/tp-national/Restrictions-on-people-living-with-HIV-lifted/article15718076.ece,Restrictions on people living with HIV lifted
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Campaign-against-HIV-through-rhythm-of-feet-today/article15718161.ece,Campaign against HIV through rhythm of feet today
http://www.thehindu.com/todays-paper/tp-features/tp-sci-tech-and-agri/Drug-taken-as-a-prophylactic-reduces-risk-of-HIV-infection/article15715488.ece,Drug taken as a prophylactic reduces risk of HIV infection
http://www.thehindu.com/todays-paper/tp-features/tp-sci-tech-and-agri/Drug-taken-as-a-prophylactic-reduces-risk-of-HIV-infection/article15715488.ece,Drug taken as a prophylactic reduces risk of HIV infection
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Focus-on-welfare-of-HIVAIDS-affected/article15697957.ece,Focus on welfare of HIV/AIDS affected
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Role-of-media-in-prevention-of-HIV-highlighted/article15690022.ece,Role of media in prevention of HIV highlighted
http://www.thehindu.com/todays-paper/tp-features/tp-educationplus/A-unique-course-in-HIV-care/article15687111.ece,A unique course in HIV care
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/HIV-counsellors-demand-wages/article15680841.ece,HIV counsellors demand wages
http://www.thehindu.com/todays-paper/tp-features/tp-educationplus/A-unique-course-in-HIV-care/article15679548.ece,A unique course in HIV care
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Show-affection-to-HIV-patients/article16052240.ece,Show affection to HIV patients
http://www.thehindu.com/todays-paper/tp-national/tp-otherstates/HIV-patient-alleges-neglect-in-treatment/article16259031.ece,HIV patient alleges neglect in treatment
http://www.thehindu.com/todays-paper/tp-opinion/Better-news-on-the-HIV-front/article16050375.ece,Better news on the HIV front
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/HIV-testing-for-pregnant-mothers-at-UHP/article16047872.ece,HIV testing for pregnant mothers at UHP
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/HIV-testing-for-pregnant-mothers-at-UHP/article16047872.ece,HIV testing for pregnant mothers at UHP
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/Seminar-on-HIVAIDS/article16216422.ece,Seminar on HIV/AIDS
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/Onsite-HIV-testing-termed-a-success-in-industrial-areas/article15974511.ece,Onsite HIV testing termed a success in industrial areas
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/Onsite-HIV-testing-termed-a-success-in-industrial-areas/article15974511.ece,Onsite HIV testing termed a success in industrial areas
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Training-programme-on-HIVAIDS/article15911296.ece,Training programme on HIV/AIDS
http://www.thehindu.com/todays-paper/tp-national/NACO-signs-MoU-with-Global-Trust-Fund-on-HIVAIDS-prevention/article15908293.ece,NACO signs MoU with Global Trust Fund on HIV/AIDS prevention
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/HIV-status-to-be-kept-confidential/article15908471.ece,HIV status to be kept confidential
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Support-group-meet-for-patients-living-with-HIVAIDS/article15906977.ece,Support group meet for patients living with HIV/AIDS
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Support-group-meet-for-patients-living-with-HIVAIDS/article15906977.ece,Support group meet for patients living with HIV/AIDS
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Meet-for-persons-with-HIV-AIDS-held/article15904733.ece,Meet for persons with HIV/ AIDS held
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/Panel-to-probe-forcible-HIV-testing-by-NGO/article15902485.ece,Panel to probe forcible HIV testing by NGO
http://www.thehindu.com/todays-paper/tp-national/tp-kerala/A-crusade-against-HIV-on-motorbike/article15902355.ece,A crusade against HIV on motorbike
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/ldquoReach-out-to-HIV-affected-childrenrdquo/article12718694.ece,“Reach out to HIV affected children”
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Loans-to-HIV-carriers-sought/article12718782.ece,Loans to HIV carriers sought
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Number-of-HIV-patients-comes-down/article15603576.ece,Number of HIV patients comes down
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Workshop-on-HIV-awareness-life-skills/article15603630.ece,"Workshop on HIV awareness, life skills"
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Workshop-to-sensitise-stakeholders-on-HIVAIDS/article15592717.ece,Workshop to sensitise stakeholders on HIV/AIDS
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Free-bus-passes-for-HIV-positive-persons/article15590584.ece,Free bus passes for HIV positive persons
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Bus-passes-for-persons-with-HIVAIDS/article15590568.ece,Bus passes for persons with HIV/AIDS
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Free-bus-passes-for-HIV-positive-persons/article15590028.ece,Free bus passes for HIV positive persons
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/HIV-prevalence-figure-in-State-to-be-released/article15587177.ece,HIV prevalence figure in State to be released
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Need-to-move-HIV-Bill-in-Parliament-stressed/article15587607.ece,Need to move HIV Bill in Parliament stressed
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Need-to-move-HIV-Bill-in-Parliament-stressed/article15585589.ece,Need to move HIV Bill in Parliament stressed
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/15-HIV-cases-detected-in-health-camps/article15583575.ece,15 HIV cases detected in health camps
http://www.thehindu.com/todays-paper/tp-national/WHO-strengthen-health-systems-to-ensure-early-detection-of-HIVAIDS/article15577491.ece,WHO: strengthen health systems to ensure early detection of HIV/AIDS
http://www.thehindu.com/todays-paper/tp-national/Encourage-people-with-HIV-to-consult-doctors-judge/article15577261.ece,Encourage people with HIV to consult doctors: judge
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/HIV-awareness-week-inaugurated/article15578457.ece,HIV awareness week inaugurated
http://www.thehindu.com/todays-paper/tp-national/tp-otherstates/HIV-cases-on-the-rise/article15578581.ece,HIV cases on the rise
http://www.thehindu.com/todays-paper/tp-national/tp-newdelhi/Minister-pledges-support-to-homeless-women-children-with-HIVAIDS/article15581302.ece,"Minister pledges support to homeless women, children with HIV/AIDS"
http://www.thehindu.com/todays-paper/tp-national/Manipur-has-highest-HIV-infection-prevalence-NACO/article15579699.ece,Manipur has highest HIV infection prevalence: NACO
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Awareness-of-HIVAIDS-on-fast-track/article15579995.ece,Awareness of HIV/AIDS on fast track
http://www.thehindu.com/todays-paper/tp-features/tp-metroplus/HIV-Children/article15579237.ece,HIV Children
http://www.thehindu.com/todays-paper/tp-national/WHO-strengthen-health-systems-to-ensure-early-detection-of-HIVAIDS/article15577491.ece,WHO: strengthen health systems to ensure early detection of HIV/AIDS
http://www.thehindu.com/todays-paper/tp-national/Encourage-people-with-HIV-to-consult-doctors-judge/article15577261.ece,Encourage people with HIV to consult doctors: judge
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/HIV-awareness-week-inaugurated/article15578457.ece,HIV awareness week inaugurated
http://www.thehindu.com/todays-paper/tp-national/tp-otherstates/HIV-cases-on-the-rise/article15578581.ece,HIV cases on the rise
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/Fall-in-number-of-HIVAIDS-cases-in-Belgaum/article16270588.ece,Fall in number of HIV/AIDS cases in Belgaum
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Create-awareness-on-HIV-transmission-Collector/article16271398.ece,Create awareness on HIV transmission: Collector
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/Fall-in-number-of-HIVAIDS-cases-in-Belgaum/article16270588.ece,Fall in number of HIV/AIDS cases in Belgaum
http://www.thehindu.com/todays-paper/tp-opinion/South-Africas-HIV-carer-children/article16262512.ece,South Africa's HIV carer children
http://www.thehindu.com/todays-paper/tp-national/tp-otherstates/HIV-patient-alleges-neglect-in-treatment/article16259031.ece,HIV patient alleges neglect in treatment
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Legal-aid-clinics-to-benefit-HIV-positive-persons-in-16-districts/article15982176.ece,Legal aid clinics to benefit HIV positive persons in 16 districts
http://www.thehindu.com/todays-paper/tp-features/tp-downtown/First-to-detect-HIV-in-India/article16246368.ece,First to detect HIV in India
http://www.thehindu.com/todays-paper/tp-features/tp-downtown/First-to-detect-HIV-in-India/article16246368.ece,First to detect HIV in India
http://www.thehindu.com/todays-paper/tp-features/tp-downtown/First-to-detect-HIV-in-India/article16246388.ece,First to detect HIV in India
http://www.thehindu.com/todays-paper/tp-features/tp-downtown/First-to-detect-HIV-in-India/article16246415.ece,First to detect HIV in India
http://www.thehindu.com/todays-paper/tp-features/tp-downtown/First-to-detect-HIV-in-India/article16246439.ece,First to detect HIV in India
http://www.thehindu.com/todays-paper/tp-features/tp-downtown/First-to-detect-HIV-in-India/article16246488.ece,First to detect HIV in India
http://www.thehindu.com/todays-paper/tp-features/tp-downtown/First-to-detect-HIV-in-India/article16246460.ece,First to detect HIV in India
http://www.thehindu.com/todays-paper/tp-features/tp-downtown/First-to-detect-HIV-in-India/article16246388.ece,First to detect HIV in India
http://www.thehindu.com/todays-paper/tp-features/tp-downtown/First-to-detect-HIV-in-India/article16246415.ece,First to detect HIV in India
http://www.thehindu.com/todays-paper/tp-features/tp-downtown/First-to-detect-HIV-in-India/article16246439.ece,First to detect HIV in India
http://www.thehindu.com/todays-paper/tp-features/tp-downtown/First-to-detect-HIV-in-India/article16246488.ece,First to detect HIV in India
http://www.thehindu.com/todays-paper/tp-features/tp-downtown/First-to-detect-HIV-in-India/article16246460.ece,First to detect HIV in India
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Awareness-meet-on-HIV-tests-conducted/article16252052.ece,Awareness meet on HIV tests conducted
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Awareness-meet-on-HIV-tests-conducted/article16252052.ece,Awareness meet on HIV tests conducted
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Efforts-to-end-discrimination-against-persons-with-HIVAIDS/article15673778.ece,Efforts to end discrimination against persons with HIV/AIDS
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/Misconceptions-on-HIV-put-to-rest/article15898300.ece,Misconceptions on HIV put to rest
http://www.thehindu.com/todays-paper/HIV-cases-among-sex-workers-on-the-rise-in-State/article15576078.ece,HIV cases among sex workers on the rise in State
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Drug-to-control-HIV-to-hit-market-soon-Kutikuppala/article16256101.ece,Drug to control HIV to hit market soon: Kutikuppala
http://www.thehindu.com/todays-paper/tp-national/Prevalence-of-HIV-attributed-to-illiteracy/article15576080.ece,Prevalence of HIV attributed to illiteracy
http://www.thehindu.com/todays-paper/tp-national/45-crore-Australian-aid-to-combat-HIV-in-North-East/article15575908.ece,45-crore Australian aid to combat HIV in North-East
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Tirupur-Alarming-rise-in-HIV-cases/article15576071.ece,Tirupur: Alarming rise in HIV cases
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/Health-insurance-for-people-with-HIV-soon/article15575693.ece,Health insurance for people with HIV soon
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/HIV-cases-Raichur-district-ranks-10th-in-Karnataka/article15575785.ece,HIV cases: Raichur district ranks 10th in Karnataka
http://www.thehindu.com/todays-paper/tp-national/tp-newdelhi/The-untold-story-of-HIV-positive-children/article15575911.ece,The untold story of HIV positive children
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/HIV-ve-lack-legal-awareness-NGOs/article16357357.ece,HIV +ve lack legal awareness: NGOs
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/HIV-positive-cases-in-district/article16356271.ece,HIV positive cases in district
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/New-forum-for-HIVAIDS-victims/article16354442.ece,New forum for HIV/AIDS victims
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/India-has-the-third-largest-number-of-HIV-positive-people/article16352655.ece,India has the third largest number of HIV positive people
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Second-line-of-HIV-drugs-soon/article16353046.ece,Second line of HIV drugs soon
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Second-line-of-HIV-drugs-from-Jan.-20/article16352775.ece,Second line of HIV drugs from Jan. 20
http://www.thehindu.com/todays-paper/tp-national/tp-kerala/HIV-awareness-campaign-in-district-from-today/article16352294.ece,HIV awareness campaign in district from today
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Mobile-HIV-awareness-campaign-from-today/article16607063.ece,Mobile HIV awareness campaign from today
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/lsquoInstil-confidence-among-HIV-positive-personsrsquo/article16346810.ece,‘Instil confidence among HIV positive persons’
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/HIV-counsellors-observe-token-fast/article16347007.ece,HIV counsellors observe token fast
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Media-Advocacy-workshop-on-HIVAIDS/article16343371.ece,Media Advocacy workshop on HIV/AIDS
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/Role-of-media-in-tackling-HIVAIDS-underscored/article16627168.ece,Role of media in tackling HIV/AIDS underscored
